date,B.1.617.2,BA.1,BA.1.1,BA.2,BA.3,B.1.617.2,Sum,Other
2021-11-19,1056,0,0,0,0,1056,1056,-1056
2021-11-20,565,0,0,0,0,565,565,-565
2021-11-21,228,0,0,0,0,228,228,-228
2021-11-22,1984,0,0,0,0,1984,1984,-1984
2021-11-23,1307,1,0,0,0,1308,1308,-1308
2021-11-24,1052,3,0,0,0,1055,1055,-1055
2021-11-25,1575,1,0,0,0,1576,1576,-1576
2021-11-26,1890,4,0,0,0,1897,1897,-1894
2021-11-27,495,4,0,0,0,500,500,-499
2021-11-28,343,3,0,0,0,348,348,-346
2021-11-29,2511,13,0,0,0,2524,2524,-2524
2021-11-30,1669,6,0,0,0,1675,1675,-1675
2021-12-01,955,4,0,0,0,962,962,-959
2021-12-02,1185,10,0,0,0,1195,1195,-1195
2021-12-03,1229,9,0,0,0,1243,1243,-1238
2021-12-04,599,10,0,0,0,610,610,-609
2021-12-05,300,4,0,0,0,305,305,-304
2021-12-06,2214,16,3,0,0,2241,2241,-2233
2021-12-07,1215,18,0,0,0,1234,1234,-1233
2021-12-08,1344,34,2,0,0,1381,1381,-1380
2021-12-09,1642,41,2,0,0,1688,1688,-1685
2021-12-10,1300,42,10,0,0,1355,1355,-1352
2021-12-11,591,16,8,0,0,618,618,-615
2021-12-12,254,11,1,0,0,266,266,-266
2021-12-13,2146,88,31,0,0,2275,2275,-2265
2021-12-14,1682,105,34,0,0,1832,1832,-1821
2021-12-15,1492,130,52,0,0,1689,1689,-1674
2021-12-16,1180,94,44,0,0,1326,1326,-1318
2021-12-17,749,97,40,0,0,897,897,-886
2021-12-18,184,25,14,0,0,226,226,-223
2021-12-19,109,9,6,0,0,124,124,-124
2021-12-20,1108,130,69,1,0,1327,1327,-1308
2021-12-21,817,125,56,1,0,1014,1014,-999
2021-12-22,861,121,50,0,0,1056,1056,-1032
2021-12-23,950,132,77,0,0,1189,1189,-1159
2021-12-24,281,65,34,2,0,390,390,-382
2021-12-25,217,112,52,0,0,384,384,-381
2021-12-26,150,89,45,3,0,299,299,-287
2021-12-27,912,316,212,4,0,1502,1502,-1444
2021-12-28,722,367,221,1,0,1328,1328,-1311
2021-12-29,740,548,345,2,0,1686,1686,-1635
2021-12-30,698,479,341,1,0,1571,1571,-1519
2021-12-31,119,205,145,1,0,503,503,-470
2022-01-01,125,208,130,0,0,487,487,-463
2022-01-02,90,119,68,3,0,283,283,-280
2022-01-03,968,543,484,14,1,2095,2095,-2010
2022-01-04,374,383,307,19,0,1148,1148,-1083
2022-01-05,360,587,542,24,0,1578,1578,-1513
2022-01-06,275,439,285,14,0,1050,1050,-1013
2022-01-07,231,384,326,23,0,982,982,-964
2022-01-08,56,187,148,6,0,403,403,-397
2022-01-09,45,127,108,3,0,292,292,-283
2022-01-10,527,869,758,73,0,2320,2320,-2227
