date,B.1.617.2,BA.1,BA.1.1,BA.2,BA.3,B.1.617.2,Sum,Other
2021-11-19,1605,0,0,0,0,1605,1605,-1605
2021-11-20,1248,0,0,0,0,1248,1248,-1248
2021-11-21,366,0,0,0,0,366,366,-366
2021-11-22,2758,0,0,0,0,2758,2758,-2758
2021-11-23,2356,1,0,0,0,2357,2357,-2357
2021-11-24,2183,3,0,0,0,2186,2186,-2186
2021-11-25,2946,3,0,0,0,2949,2949,-2949
2021-11-26,2811,5,0,0,0,2819,2819,-2816
2021-11-27,966,4,2,0,0,972,972,-972
2021-11-28,496,3,2,0,0,501,501,-501
2021-11-29,3581,11,3,0,0,3595,3595,-3595
2021-11-30,2821,8,0,0,0,2829,2829,-2829
2021-12-01,1923,5,2,0,0,1932,1932,-1930
2021-12-02,2336,15,1,0,0,2352,2352,-2352
2021-12-03,1847,17,2,1,0,1870,1870,-1867
2021-12-04,1232,11,2,0,0,1247,1247,-1245
2021-12-05,434,8,0,0,0,443,443,-442
2021-12-06,3474,25,9,1,0,3516,3516,-3509
2021-12-07,2255,29,11,10,0,2308,2308,-2305
2021-12-08,1962,35,4,0,0,2004,2004,-2001
2021-12-09,2987,53,9,0,0,3052,3052,-3049
2021-12-10,2229,55,12,0,0,2299,2299,-2296
2021-12-11,1016,22,8,0,0,1049,1049,-1046
2021-12-12,399,13,4,0,0,416,416,-416
2021-12-13,2794,92,44,0,0,2936,2936,-2930
2021-12-14,2856,126,54,0,0,3043,3043,-3036
2021-12-15,2183,147,69,0,0,2405,2405,-2399
2021-12-16,2481,204,132,1,0,2823,2823,-2818
2021-12-17,1438,132,59,0,0,1629,1629,-1629
2021-12-18,1280,49,22,0,0,1351,1351,-1351
2021-12-19,219,17,9,0,0,245,245,-245
2021-12-20,2191,180,85,2,0,2465,2465,-2458
2021-12-21,2037,344,225,2,0,2624,2624,-2608
2021-12-22,1816,178,87,0,0,2091,2091,-2081
2021-12-23,1576,438,316,8,0,2348,2348,-2338
2021-12-24,992,134,85,2,0,1220,1220,-1213
2021-12-25,312,143,66,0,0,522,522,-521
2021-12-26,698,186,113,4,0,1009,1009,-1001
2021-12-27,1311,465,347,4,0,2143,2143,-2127
2021-12-28,935,447,287,3,0,1677,1677,-1672
2021-12-29,1232,793,499,3,0,2533,2533,-2527
2021-12-30,1604,1067,793,15,0,3484,3484,-3479
2021-12-31,378,402,280,4,0,1064,1064,-1064
2022-01-01,225,272,204,0,0,701,701,-701
2022-01-02,457,187,100,4,0,750,750,-748
2022-01-03,1730,767,724,19,1,3246,3246,-3241
2022-01-04,876,809,708,30,0,2427,2427,-2423
2022-01-05,694,758,743,37,0,2238,2238,-2232
2022-01-06,728,1162,1167,39,1,3114,3114,-3097
2022-01-07,662,652,607,42,1,1968,1968,-1964
2022-01-08,157,307,266,15,0,746,746,-745
2022-01-09,612,203,207,5,0,1031,1031,-1027
2022-01-10,776,1142,1127,101,0,3169,3169,-3146
2022-01-11,586,1364,1400,69,1,3437,3437,-3420
2022-01-12,309,938,1142,61,1,2465,2465,-2451
2022-01-13,559,1502,2002,165,0,4245,4245,-4228
2022-01-14,317,1120,1239,91,0,2773,2773,-2767
2022-01-15,59,506,586,44,2,1197,1197,-1197
2022-01-16,45,305,370,41,0,761,761,-761
2022-01-17,253,1710,2587,318,2,4881,4881,-4870
2022-01-18,343,1406,1922,169,0,3854,3854,-3840
2022-01-19,165,1028,1503,170,0,2878,2878,-2866
2022-01-20,132,1192,1876,221,0,3431,3431,-3421
2022-01-21,66,1184,1670,208,0,3137,3137,-3128
2022-01-22,56,286,406,61,0,812,812,-809
2022-01-23,17,367,663,116,0,1165,1165,-1163
2022-01-24,102,1238,1944,336,0,3626,3626,-3620
