date,B.1.617.2,BA.1,BA.1.1,BA.2,BA.3,B.1.617.2,Sum,Other
2021-11-19,1759,0,0,0,0,1759,1759,-1759
2021-11-20,1331,0,0,0,0,1331,1331,-1331
2021-11-21,470,1,0,0,0,471,471,-471
2021-11-22,3110,1,0,0,0,3111,3111,-3111
2021-11-23,2482,1,0,0,0,2484,2484,-2483
2021-11-24,2654,5,0,0,0,2661,2661,-2659
2021-11-25,3171,4,0,0,0,3175,3175,-3175
2021-11-26,2981,7,0,0,0,2991,2991,-2988
2021-11-27,1047,9,2,0,0,1058,1058,-1058
2021-11-28,563,7,2,0,0,572,572,-572
2021-11-29,3859,58,0,0,0,3918,3918,-3917
2021-11-30,3021,32,1,0,0,3056,3056,-3054
2021-12-01,2059,32,5,0,0,2100,2100,-2096
2021-12-02,2576,32,2,0,1,2613,2613,-2611
2021-12-03,2059,38,2,1,0,2105,2105,-2100
2021-12-04,1465,37,1,0,0,1506,1506,-1503
2021-12-05,570,26,0,0,0,597,597,-596
2021-12-06,3878,73,11,1,0,3972,3972,-3963
2021-12-07,2477,72,22,10,0,2586,2586,-2581
2021-12-08,2112,83,12,0,0,2212,2212,-2207
2021-12-09,3287,96,15,0,0,3401,3401,-3398
2021-12-10,2536,108,22,0,0,2670,2670,-2666
2021-12-11,1112,62,14,0,0,1189,1189,-1188
2021-12-12,465,27,8,0,0,500,500,-500
2021-12-13,3110,180,61,1,0,3360,3360,-3352
2021-12-14,3058,210,70,0,0,3346,3346,-3338
2021-12-15,2271,252,110,0,0,2640,2640,-2633
2021-12-16,2640,357,190,1,0,3195,3195,-3188
2021-12-17,1628,274,113,0,0,2022,2022,-2015
2021-12-18,1382,142,49,1,0,1574,1574,-1574
2021-12-19,256,49,24,1,0,334,334,-330
2021-12-20,2409,430,179,2,0,3039,3039,-3020
2021-12-21,2122,534,302,2,0,2975,2975,-2960
2021-12-22,1919,368,179,0,0,2479,2479,-2466
2021-12-23,1752,628,400,8,0,2798,2798,-2788
2021-12-24,1054,258,182,3,0,1506,1506,-1497
2021-12-25,377,202,91,0,0,672,672,-670
2021-12-26,765,296,172,5,0,1247,1247,-1238
2021-12-27,1553,769,557,9,0,2930,2930,-2888
2021-12-28,1049,798,502,7,0,2364,2364,-2356
2021-12-29,1295,1340,829,16,0,3490,3490,-3480
2021-12-30,1658,1652,1182,23,0,4531,4531,-4515
2021-12-31,436,637,435,7,0,1517,1517,-1515
2022-01-01,263,398,255,1,0,919,919,-917
2022-01-02,516,489,314,10,0,1335,1335,-1329
2022-01-03,1916,1426,1269,54,1,4701,4701,-4666
2022-01-04,939,1383,1136,55,1,3523,3523,-3514
2022-01-05,755,1375,1211,62,0,3414,3414,-3403
2022-01-06,776,1724,1505,60,2,4095,4095,-4067
2022-01-07,772,1143,1025,70,1,3019,3019,-3011
2022-01-08,206,703,598,45,0,1561,1561,-1552
2022-01-09,630,310,316,12,0,1275,1275,-1268
2022-01-10,873,1524,1343,160,0,3921,3921,-3900
2022-01-11,630,1735,1592,105,1,4103,4103,-4063
2022-01-12,379,1263,1375,104,1,3131,3131,-3122
2022-01-13,603,1879,2237,206,0,4954,4954,-4925
2022-01-14,367,1454,1495,134,0,3465,3465,-3450
2022-01-15,80,702,793,79,2,1666,1666,-1656
2022-01-16,53,352,419,66,0,895,895,-890
2022-01-17,317,2062,2817,433,2,5670,5670,-5631
2022-01-18,370,1882,2380,302,0,4961,4961,-4934
2022-01-19,175,1595,1982,320,0,4084,4084,-4072
2022-01-20,157,1749,2601,359,0,4882,4882,-4866
2022-01-21,82,1529,2078,329,0,4033,4033,-4018
2022-01-22,63,583,804,175,0,1632,1632,-1625
2022-01-23,22,432,737,131,0,1327,1327,-1322
2022-01-24,143,1838,2868,581,0,5452,5452,-5430
2022-01-25,156,1781,2850,512,0,5314,5314,-5299
2022-01-26,51,1182,2074,461,0,3780,3780,-3768
2022-01-27,70,1266,2235,560,0,4177,4177,-4131
2022-01-28,67,1172,2083,509,0,3845,3845,-3831
2022-01-29,15,527,915,207,1,1671,1671,-1665
2022-01-30,19,774,1857,557,0,3220,3220,-3207
2022-01-31,37,1203,2383,732,0,4366,4366,-4355
2022-02-01,51,1214,2407,743,0,4442,4442,-4415
2022-02-02,30,885,1756,624,0,3312,3312,-3295
2022-02-03,34,1430,3290,1222,1,6034,6034,-5977
2022-02-04,25,1238,2602,772,2,4661,4661,-4639
2022-02-05,8,344,676,272,0,1306,1306,-1300
2022-02-06,8,441,1022,486,0,1960,1960,-1957
2022-02-07,32,1004,2430,1144,1,4629,4629,-4611
2022-02-08,18,1294,2762,1175,3,5265,5265,-5252
2022-02-09,16,1105,2668,1285,4,5116,5116,-5078
2022-02-10,9,922,2443,1266,1,4656,4656,-4641
2022-02-11,11,849,2196,1209,0,4290,4290,-4265
2022-02-12,2,505,1159,709,1,2382,2382,-2376
2022-02-13,7,267,744,483,1,1518,1518,-1502
2022-02-14,19,1136,3268,2632,1,7106,7106,-7056
2022-02-15,6,1009,2849,2045,2,5955,5955,-5911
2022-02-16,3,644,1761,1416,2,3880,3880,-3826
2022-02-17,7,813,2570,2521,0,5933,5933,-5911
2022-02-18,0,610,1688,1689,2,0,4016,27
2022-02-19,0,267,832,928,2,0,2040,11
2022-02-20,3,216,628,790,2,1659,1659,-1639
2022-02-21,5,548,1607,1980,0,4165,4165,-4140
2022-02-22,1,588,1851,2022,2,4474,4474,-4464
2022-02-23,3,453,1532,1885,0,3886,3886,-3873
2022-02-24,7,476,1715,3137,1,5366,5366,-5336
