date,B.1.617.2,BA.1,BA.2,BA.3,B.1.617.2,Sum,Other
2021-11-19,1759,0,0,0,1759,1759,-1759
2021-11-20,1331,0,0,0,1331,1331,-1331
2021-11-21,470,1,0,0,471,471,-471
2021-11-22,3110,1,0,0,3111,3111,-3111
2021-11-23,2482,1,0,0,2484,2484,-2483
2021-11-24,2654,5,0,0,2661,2661,-2659
2021-11-25,3171,4,0,0,3175,3175,-3175
2021-11-26,2981,7,0,0,2991,2991,-2988
2021-11-27,1047,11,0,0,1058,1058,-1058
2021-11-28,563,9,0,0,572,572,-572
2021-11-29,3859,58,0,0,3918,3918,-3917
2021-11-30,3021,33,0,0,3056,3056,-3054
2021-12-01,2059,37,0,0,2100,2100,-2096
2021-12-02,2576,34,0,1,2613,2613,-2611
2021-12-03,2059,40,1,0,2105,2105,-2100
2021-12-04,1465,38,0,0,1506,1506,-1503
2021-12-05,570,26,0,0,597,597,-596
2021-12-06,3878,85,1,0,3972,3972,-3964
2021-12-07,2477,94,10,0,2586,2586,-2581
2021-12-08,2112,95,0,0,2212,2212,-2207
2021-12-09,3287,111,0,0,3401,3401,-3398
2021-12-10,2536,129,0,0,2670,2670,-2665
2021-12-11,1112,76,0,0,1189,1189,-1188
2021-12-12,465,35,0,0,500,500,-500
2021-12-13,3110,241,1,0,3360,3360,-3352
2021-12-14,3058,280,0,0,3346,3346,-3338
2021-12-15,2271,362,0,0,2640,2640,-2633
2021-12-16,2640,545,1,0,3195,3195,-3186
2021-12-17,1628,387,0,0,2022,2022,-2015
2021-12-18,1382,191,1,0,1574,1574,-1574
2021-12-19,256,74,1,0,334,334,-331
2021-12-20,2409,608,2,0,3039,3039,-3019
2021-12-21,2122,836,2,0,2975,2975,-2960
2021-12-22,1919,547,0,0,2479,2479,-2466
2021-12-23,1752,1028,8,0,2798,2798,-2788
2021-12-24,1054,440,3,0,1506,1506,-1497
2021-12-25,377,293,0,0,672,672,-670
2021-12-26,765,467,5,0,1247,1247,-1237
2021-12-27,1553,1324,9,0,2930,2930,-2886
2021-12-28,1049,1299,7,0,2364,2364,-2355
2021-12-29,1295,2168,16,0,3490,3490,-3479
2021-12-30,1658,2833,23,0,4531,4531,-4514
2021-12-31,436,1072,7,0,1517,1517,-1515
2022-01-01,263,653,1,0,919,919,-917
2022-01-02,516,803,10,0,1335,1335,-1329
2022-01-03,1916,2695,54,1,4701,4701,-4666
2022-01-04,939,2519,55,1,3523,3523,-3514
2022-01-05,755,2586,62,0,3414,3414,-3403
2022-01-06,776,3228,60,2,4095,4095,-4066
2022-01-07,772,2168,70,1,3019,3019,-3011
2022-01-08,206,1303,45,0,1561,1561,-1554
2022-01-09,630,626,13,0,1275,1275,-1269
2022-01-10,873,2863,160,0,3921,3921,-3896
2022-01-11,631,3325,105,1,4103,4103,-4062
2022-01-12,382,2636,104,1,3131,3131,-3123
2022-01-13,603,4113,206,0,4954,4954,-4922
2022-01-14,367,2950,134,0,3465,3465,-3451
2022-01-15,80,1495,79,2,1666,1666,-1656
2022-01-16,53,771,66,0,895,895,-890
2022-01-17,317,4876,433,2,5670,5670,-5628
2022-01-18,370,4262,302,0,4961,4961,-4934
2022-01-19,175,3578,320,0,4084,4084,-4073
2022-01-20,157,4349,359,0,4882,4882,-4865
2022-01-21,82,3606,329,0,4033,4033,-4017
2022-01-22,63,1388,175,0,1632,1632,-1626
2022-01-23,22,1169,131,0,1327,1327,-1322
2022-01-24,143,4707,581,0,5452,5452,-5431
2022-01-25,156,4630,511,0,5314,5314,-5297
2022-01-26,51,3254,461,0,3780,3780,-3766
2022-01-27,70,3500,560,0,4177,4177,-4130
2022-01-28,67,3253,509,0,3845,3845,-3829
2022-01-29,15,1444,208,1,1671,1671,-1668
2022-01-30,19,2631,558,0,3220,3220,-3208
2022-01-31,37,3584,732,0,4366,4366,-4353
2022-02-01,51,3624,744,0,4442,4442,-4419
2022-02-02,30,2641,625,0,3312,3312,-3296
2022-02-03,34,4720,1222,1,6034,6034,-5977
2022-02-04,25,3840,772,2,4661,4661,-4639
2022-02-05,8,1020,272,0,1306,1306,-1300
2022-02-06,8,1461,486,0,1960,1960,-1955
2022-02-07,32,3433,1145,1,4629,4629,-4611
2022-02-08,18,4057,1176,3,5265,5265,-5254
2022-02-09,16,3772,1285,4,5116,5116,-5077
2022-02-10,9,3365,1265,1,4656,4656,-4640
2022-02-11,11,3043,1209,0,4290,4290,-4263
2022-02-12,2,1663,709,1,2382,2382,-2375
2022-02-13,7,1010,484,1,1518,1518,-1502
2022-02-14,19,4403,2642,1,7106,7106,-7065
2022-02-15,6,3855,2046,2,5955,5955,-5909
2022-02-16,3,2407,1428,2,3880,3880,-3840
2022-02-17,7,3381,2522,0,5933,5933,-5910
2022-02-18,0,2296,1690,2,0,4016,28
2022-02-19,0,1096,930,2,0,2040,12
2022-02-20,3,842,790,2,1659,1659,-1637
2022-02-21,5,2152,1984,0,4165,4165,-4141
2022-02-22,1,2440,2021,2,4474,4474,-4464
2022-02-23,3,1985,1884,0,3886,3886,-3872
2022-02-24,7,2189,3139,1,5367,5367,-5336
2022-02-25,1,1411,1981,1,3401,3401,-3394
2022-02-26,0,849,1006,0,0,1857,2
2022-02-27,0,428,645,0,0,1074,1
2022-02-28,2,1247,2057,0,3321,3321,-3306
2022-03-01,1,1616,2728,2,4376,4376,-4347
2022-03-02,1,2310,3839,1,6308,6308,-6151
2022-03-03,5,1678,3952,2,5666,5666,-5637
2022-03-04,2,1250,2499,0,3774,3774,-3751
2022-03-05,0,875,1977,0,0,2860,8
2022-03-06,0,682,1845,0,0,2541,14
2022-03-07,1,1324,3370,1,4725,4725,-4696
2022-03-08,1,1294,3400,0,4727,4727,-4695
2022-03-09,0,1506,4125,0,0,5662,31
2022-03-10,0,983,3224,2,0,4224,15
2022-03-11,0,734,2535,1,0,3298,28
2022-03-12,0,478,1793,1,0,2296,24
2022-03-13,0,428,1775,0,0,2221,18
2022-03-14,0,831,4010,2,0,4871,28
2022-03-15,5,817,3732,0,4584,4584,-4554
2022-03-16,0,919,4000,0,0,4953,34
2022-03-17,1,693,3510,0,4241,4241,-4204
2022-03-18,3,532,2612,0,3179,3179,-3147
2022-03-19,0,315,2001,0,0,2335,19
2022-03-20,0,317,2296,0,0,2649,36
2022-03-21,0,543,3977,1,0,4551,30
2022-03-22,1,509,3912,1,4447,4447,-4423
2022-03-23,0,310,2977,0,0,3329,42
2022-03-24,1,389,2735,0,3179,3179,-3125
2022-03-25,0,191,1913,1,0,2111,6
2022-03-26,1,183,1645,0,1833,1833,-1829
2022-03-27,0,103,1149,0,0,1263,11
2022-03-28,0,273,3524,2,0,3848,49
2022-03-29,0,353,3541,0,0,3934,40
2022-03-30,0,310,3825,0,0,4155,20
2022-03-31,0,202,2820,0,0,3048,26
2022-04-01,2,132,2248,1,2407,2407,-2383
2022-04-02,1,95,1620,0,1723,1723,-1716
2022-04-03,0,56,1174,0,0,1251,21
2022-04-04,1,208,3080,0,3336,3336,-3289
2022-04-05,0,239,3432,2,0,3686,13
2022-04-06,0,158,2989,1,0,3170,22
2022-04-07,0,135,2772,0,0,3014,107
2022-04-08,0,92,2001,0,0,2116,23
2022-04-09,5,49,1962,1,2030,2030,-2017
2022-04-10,0,51,1389,1,0,1449,8
2022-04-11,0,101,3352,0,0,3474,21
2022-04-12,0,151,4082,1,0,4258,24
2022-04-13,0,87,2961,0,0,3070,22
2022-04-14,0,45,2230,1,0,2302,26
2022-04-15,0,52,2065,1,0,2134,16
2022-04-16,0,31,1609,1,0,1658,17
2022-04-17,0,20,1263,0,0,1292,9
2022-04-18,0,26,1403,0,0,1442,13
2022-04-19,1,89,3378,2,3507,3507,-3470
2022-04-20,0,50,2749,0,0,2826,27
2022-04-21,0,65,2878,1,0,2967,23
2022-04-22,0,32,2508,0,0,2566,26
2022-04-23,0,26,2074,2,0,2131,29
2022-04-24,0,27,1494,0,0,1535,14
2022-04-25,1,62,3020,0,3114,3114,-3083
2022-04-26,0,36,2742,1,0,2814,35
2022-04-27,0,19,2354,1,0,2402,28
2022-04-28,0,29,2383,0,0,2468,56
2022-04-29,0,27,2320,0,0,2371,24
2022-04-30,0,13,1468,0,0,1502,21
2022-05-01,0,6,571,0,0,602,25
2022-05-02,0,26,2450,0,0,2516,40
2022-05-03,0,26,2329,0,0,2415,60
2022-05-04,0,18,2156,0,0,2228,54
2022-05-05,0,14,2356,0,0,2428,58
2022-05-06,0,12,2362,0,0,2417,43
2022-05-07,0,3,1370,0,0,1417,44
2022-05-08,0,2,815,0,0,843,26
2022-05-09,0,14,2774,0,0,2862,74
2022-05-10,0,16,2295,0,0,2411,100
2022-05-11,0,18,2109,0,0,2209,82
2022-05-12,0,9,2380,3,0,2530,138
2022-05-13,0,6,1987,1,0,2076,82
2022-05-14,0,2,1087,0,0,1147,58
2022-05-15,0,1,470,0,0,507,36
2022-05-16,0,15,2226,0,0,2403,162
2022-05-17,0,3,1970,0,0,2112,139
2022-05-18,0,15,1887,0,0,2054,152
2022-05-19,0,3,1981,1,0,2128,143
2022-05-20,0,2,1537,0,0,1675,136
2022-05-21,0,2,636,0,0,717,79
2022-05-22,0,1,439,0,0,504,64
2022-05-23,0,8,1716,0,0,1980,256
2022-05-24,0,2,1362,1,0,1601,236
2022-05-25,0,10,1269,0,0,1561,282
2022-05-26,0,1,744,0,0,901,156
2022-05-27,0,3,1130,0,0,1432,299
2022-05-28,0,2,674,0,0,867,191
2022-05-29,0,1,369,0,0,513,143
2022-05-30,0,13,1516,0,0,2134,605
2022-05-31,0,4,1051,0,0,1535,480
2022-06-01,1,9,949,0,1497,1497,-959
2022-06-02,0,1,1010,0,0,1686,675
2022-06-03,0,0,650,0,0,1144,494
2022-06-04,0,0,395,0,0,713,318
2022-06-05,0,0,286,0,0,506,220
2022-06-06,0,0,307,0,0,623,316
2022-06-07,0,0,972,0,0,2150,1178
2022-06-08,0,2,1123,0,0,2022,897
2022-06-09,0,1,983,0,0,2038,1054
2022-06-10,0,2,819,0,0,1666,845
2022-06-11,0,0,352,0,0,981,629
2022-06-12,0,0,149,0,0,465,316
2022-06-13,2,4,869,0,2153,2153,-875
2022-06-14,0,1,586,0,0,1731,1144
2022-06-15,0,1,592,0,0,2094,1501
2022-06-16,0,0,232,0,0,799,567
2022-06-17,0,0,354,0,0,1436,1082
2022-06-18,0,0,146,0,0,672,526
2022-06-19,0,0,75,0,0,335,260
2022-06-20,0,0,365,0,0,1691,1326
2022-06-21,0,0,391,0,0,1903,1512
2022-06-22,0,1,266,0,0,1518,1251
2022-06-23,0,0,357,0,0,2087,1730
2022-06-24,0,1,274,0,0,1795,1520
2022-06-25,0,0,140,0,0,950,810
2022-06-26,0,0,84,0,0,736,652
2022-06-27,0,0,303,0,0,2558,2255
2022-06-28,0,0,195,0,0,1813,1618
2022-06-29,0,0,166,0,0,1535,1369
2022-06-30,0,0,173,0,0,1790,1617
2022-07-01,0,0,90,0,0,1132,1042
2022-07-02,0,0,37,0,0,579,542
2022-07-03,0,0,31,0,0,383,352
2022-07-04,0,0,71,0,0,672,601
2022-07-05,0,0,44,0,0,678,634
2022-07-06,0,0,80,0,0,936,856
2022-07-07,0,0,36,0,0,450,414
2022-07-08,0,0,12,0,0,239,227
